SiteId,SiteName,MonitorDate,PSI,SO2SubIndex,COSubIndex,O3SubIndex,PM10SubIndex,NO2SubIndex
83,麥寮,2016-10-31,68,6,,,68,
80,關山,2016-10-31,29,2,,29,21,
78,馬公,2016-10-31,36,2,2,36,29,
77,金門,2016-10-31,54,7,3,54,52,
75,馬祖,2016-10-31,50,4,2,50,37,
72,埔里,2016-10-31,82,3,5,82,50,
71,復興,2016-10-31,65,10,12,,65,
70,永和,2016-10-31,27,4,6,,27,
69,竹山,2016-10-31,84,4,5,84,54,
68,中壢,2016-10-31,37,4,8,,37,
67,三重,2016-10-31,43,6,20,,43,
66,冬山,2016-10-31,37,2,3,37,,
65,宜蘭,2016-10-31,40,2,4,35,40,
64,陽明,2016-10-31,39,2,2,39,5,
63,花蓮,2016-10-31,39,3,3,39,26,
62,臺東,2016-10-31,33,3,3,33,31,
61,恆春,2016-10-31,41,2,1,41,34,
60,潮州,2016-10-31,118,7,5,118,66,
59,屏東,2016-10-31,83,6,6,83,62,
58,小港,2016-10-31,80,11,7,80,70,
57,前鎮,2016-10-31,70,9,,,70,
56,前金,2016-10-31,98,6,8,98,71,
54,左營,2016-10-31,107,10,8,107,72,
53,楠梓,2016-10-31,91,8,7,91,78,
52,林園,2016-10-31,88,11,5,88,54,
51,大寮,2016-10-31,94,10,6,94,78,
50,鳳山,2016-10-31,80,8,7,,80,
49,仁武,2016-10-31,111,8,8,111,78,
48,橋頭,2016-10-31,90,8,7,90,67,
47,美濃,2016-10-31,67,4,5,67,57,
46,臺南,2016-10-31,73,7,9,73,58,
45,安南,2016-10-31,73,6,7,73,60,
44,善化,2016-10-31,70,7,6,70,60,
43,新營,2016-10-31,65,6,5,65,59,
42,嘉義,2016-10-31,69,4,6,69,56,
41,臺西,2016-10-31,45,5,,,45,
40,朴子,2016-10-31,58,8,4,58,,
39,新港,2016-10-31,58,4,4,58,50,
38,崙背,2016-10-31,51,8,4,51,41,
37,斗六,2016-10-31,76,6,5,76,52,
36,南投,2016-10-31,71,4,7,71,52,
35,二林,2016-10-31,48,10,5,48,48,
34,線西,2016-10-31,44,10,,,44,
33,彰化,2016-10-31,53,4,5,53,38,
32,西屯,2016-10-31,58,5,3,58,42,
31,忠明,2016-10-31,59,5,4,59,31,
30,大里,2016-10-31,62,6,7,62,42,
29,沙鹿,2016-10-31,48,4,3,48,43,
28,豐原,2016-10-31,57,5,4,57,27,
27,三義,2016-10-31,55,3,3,55,24,
26,苗栗,2016-10-31,52,4,4,52,33,
25,頭份,2016-10-31,30,5,,,30,
24,新竹,2016-10-31,39,5,4,39,35,
23,竹東,2016-10-31,40,4,3,40,26,
22,湖口,2016-10-31,39,5,3,39,32,
21,龍潭,2016-10-31,36,4,3,36,36,
20,平鎮,2016-10-31,35,4,4,35,32,
19,觀音,2016-10-31,41,6,2,38,41,
18,大園,2016-10-31,41,6,2,34,41,
17,桃園,2016-10-31,34,7,4,34,27,
16,大同,2016-10-31,41,5,9,,41,
15,松山,2016-10-31,32,4,4,32,26,
14,古亭,2016-10-31,33,5,4,33,30,
13,萬華,2016-10-31,29,4,5,29,27,
12,中山,2016-10-31,30,4,6,30,27,
11,士林,2016-10-31,38,3,3,38,26,
10,淡水,2016-10-31,39,3,2,39,30,
9,林口,2016-10-31,38,6,2,38,38,
8,菜寮,2016-10-31,34,5,5,34,27,
7,新莊,2016-10-31,34,6,4,34,28,
6,板橋,2016-10-31,37,5,5,31,37,
5,土城,2016-10-31,35,5,5,35,34,
4,新店,2016-10-31,34,2,4,34,28,
3,萬里,2016-10-31,52,2,2,43,52,
2,汐止,2016-10-31,30,7,4,30,29,
1,基隆,2016-10-31,39,1,3,39,21,
83,麥寮,2016-10-30,74,9,,,74,
80,關山,2016-10-30,33,2,,33,11,
78,馬公,2016-10-30,36,3,2,36,33,
77,金門,2016-10-30,43,3,2,43,35,
75,馬祖,2016-10-30,44,4,2,44,41,
72,埔里,2016-10-30,64,3,5,64,43,
71,復興,2016-10-30,50,10,9,,50,
70,永和,2016-10-30,24,3,4,,24,
69,竹山,2016-10-30,70,4,5,70,42,
68,中壢,2016-10-30,39,5,8,,39,
67,三重,2016-10-30,40,4,12,,40,
66,冬山,2016-10-30,34,1,3,34,,
65,宜蘭,2016-10-30,32,2,3,32,30,
64,陽明,2016-10-30,37,3,2,37,5,
63,花蓮,2016-10-30,38,2,4,38,18,
62,臺東,2016-10-30,41,2,3,34,41,
61,恆春,2016-10-30,43,2,2,43,29,
60,潮州,2016-10-30,90,7,6,90,65,
59,屏東,2016-10-30,72,8,7,72,56,
58,小港,2016-10-30,55,18,7,53,55,
57,前鎮,2016-10-30,56,11,,,56,
56,前金,2016-10-30,67,6,5,67,52,
54,左營,2016-10-30,71,9,6,71,56,
53,楠梓,2016-10-30,67,5,6,67,62,
52,林園,2016-10-30,71,14,7,71,44,
51,大寮,2016-10-30,61,9,7,61,58,
50,鳳山,2016-10-30,58,9,7,,58,
49,仁武,2016-10-30,69,7,5,69,58,
48,橋頭,2016-10-30,69,5,5,69,56,
47,美濃,2016-10-30,68,4,5,68,53,
46,臺南,2016-10-30,64,6,6,64,54,
45,安南,2016-10-30,62,5,4,62,56,
44,善化,2016-10-30,68,7,5,68,56,
